jumlah kedip,jumlah kepala miring,jumlah menguap,kondisi
1,0,0,['tidak mengantuk']
0,1,0,['tidak mengantuk']
0,0,0,['tidak mengantuk']
0,0,0,['tidak mengantuk']
0,0,0,['tidak mengantuk']
0,0,0,['tidak mengantuk']
0,0,0,['tidak mengantuk']
0,0,0,['tidak mengantuk']
0,0,0,['tidak mengantuk']
0,0,0,['tidak mengantuk']
0,0,0,['tidak mengantuk']
0,0,0,['tidak mengantuk']
0,0,0,['tidak mengantuk']
0,0,0,['tidak mengantuk']
0,0,0,['tidak mengantuk']
0,0,0,['tidak mengantuk']
0,0,0,['tidak mengantuk']
0,0,0,['tidak mengantuk']
0,0,0,['tidak mengantuk']
0,0,0,['tidak mengantuk']
0,1,0,['tidak mengantuk']
0,0,0,['tidak mengantuk']
0,0,0,['tidak mengantuk']
jumlah kedip,jumlah kepala miring,jumlah menguap,kondisi
1,0,0,['tidak mengantuk']
0,0,0,['tidak mengantuk']
jumlah kedip,jumlah kepala miring,jumlah menguap,kondisi
1,0,0,['tidak mengantuk']
jumlah kedip,jumlah kepala miring,jumlah menguap,kondisi
jumlah kedip,jumlah kepala miring,jumlah menguap,kondisi
1,0,0,['tidak mengantuk']
jumlah kedip,jumlah kepala miring,jumlah menguap,kondisi
0,0,0,['tidak mengantuk']
0,1,0,['tidak mengantuk']
1,0,2,['mengantuk']
0,1,2,['mengantuk']
0,0,3,['mengantuk']
0,0,1,['tidak mengantuk']
0,1,4,['mengantuk']
0,0,3,['mengantuk']
0,0,4,['mengantuk']
0,0,0,['tidak mengantuk']
0,0,1,['tidak mengantuk']
0,0,1,['tidak mengantuk']
0,0,1,['tidak mengantuk']
0,1,3,['mengantuk']
0,3,1,['mengantuk']
0,1,2,['mengantuk']
0,0,2,['tidak mengantuk']
0,0,2,['tidak mengantuk']
0,0,2,['tidak mengantuk']
0,0,1,['tidak mengantuk']
0,0,2,['tidak mengantuk']
0,0,2,['tidak mengantuk']
0,0,2,['tidak mengantuk']
0,0,3,['mengantuk']
0,0,3,['mengantuk']
0,0,3,['mengantuk']
0,0,1,['tidak mengantuk']
0,0,3,['mengantuk']
jumlah kedip,jumlah kepala miring,jumlah menguap,kondisi
1,0,0,['tidak mengantuk']
1,4,0,['mengantuk']
0,0,2,['tidak mengantuk']
