jumlah kedip,jumlah kepala miring,jumlah menguap,total
4,0,0,mengantuk
5,1,1,mengantuk
3,1,2,mengantuk
0,0,0,tidak mengantuk
0,0,0,tidak mengantuk
2,1,1,mengantuk
3,1,0,tidak mengantuk
2,1,0,tidak mengantuk
3,2,1,mengantuk
5,1,2,mengantuk
6,1,1,mengantuk
1,0,0,tidak mengantuk
2,1,0,tidak mengantuk
1,0,1,tidak mengantuk
2,1,2,mengantuk
4,2,3,mengantuk
1,0,0,tidak mengantuk
1,1,2,mengantuk
2,0,0,tidak mengantuk
2,0,1,tidak mengantuk
2,0,1,mengantuk
3,0,2,tidak mengantuk
4,1,0,mengantuk
0,0,1,tidak mengantuk
3,2,0,mengantuk
2,1,1,mengantuk
0,0,1,tidak mengantuk
4,2,1,mengantuk
3,0,1,mengantuk
2,2,0,mengantuk
4,0,0,tidak mengantuk
3,0,2,tidak mengantuk
2,0,0,tidak mengantuk
3,1,2,tidak mengantuk
0,1,1,tidak mengantuk
2,1,1,mengantuk
2,0,1,mengantuk
0,2,0,mengantuk
1,0,0,tidak mengantuk
3,0,2,mengantuk
4,0,0,mengantuk
5,1,1,mengantuk
3,1,2,mengantuk
0,0,0,tidak mengantuk
0,0,0,tidak mengantuk
2,1,1,mengantuk
3,1,0,tidak mengantuk
2,1,0,tidak mengantuk
3,2,1,mengantuk
0,0,0,tidak mengantuk
0,0,0,tidak mengantuk
2,1,1,mengantuk
3,1,0,tidak mengantuk
2,1,0,tidak mengantuk
3,2,1,mengantuk
5,1,2,mengantuk
6,1,1,mengantuk
1,0,0,tidak mengantuk
2,1,0,tidak mengantuk
1,0,1,tidak mengantuk
3,0,2,mengantuk
4,0,0,mengantuk
5,1,1,mengantuk
3,1,2,mengantuk
0,0,0,tidak mengantuk
0,0,0,tidak mengantuk
2,1,1,mengantuk
3,1,0,tidak mengantuk
2,1,0,tidak mengantuk
3,2,1,mengantuk
3,0,2,mengantuk
4,0,0,mengantuk
5,1,1,mengantuk
3,1,2,mengantuk
0,0,0,tidak mengantuk
0,0,0,tidak mengantuk
2,1,1,mengantuk
3,1,0,tidak mengantuk
2,1,0,tidak mengantuk
3,2,1,mengantuk
2,2,0,tidak mengantuk
2,2,3,mengantuk
4,0,0,tidak mengantuk
0,0,0,tidak mengantuk
1,0,0,tidak mengantuk
2,0,0,tidak mengantuk
0,1,0,tidak mengantuk
0,0,0,tidak mengantuk
0,0,0,tidak mengantuk
0,0,0,tidak mengantuk
0,2,0,tidak mengantuk
1,0,1,tidak mengantuk
2,1,2,mengantuk
4,2,3,mengantuk
2,0,0,tidak mengantuk
1,1,2,mengantuk
2,0,0,tidak mengantuk
2,0,1,tidak mengantuk
2,0,1,mengantuk
3,0,2,tidak mengantuk
0,1,0,tidak mengantuk
3,2,1,mengantuk
3,0,2,mengantuk
4,0,0,mengantuk
0,0,0,tidak mengantuk
0,0,0,tidak mengantuk
2,1,1,mengantuk
3,1,0,tidak mengantuk
2,1,0,tidak mengantuk
1,0,0,tidak mengantuk
2,0,0,tidak mengantuk
0,1,0,tidak mengantuk
0,0,0,tidak mengantuk
0,0,0,tidak mengantuk
0,0,0,tidak mengantuk
0,2,0,tidak mengantuk
1,0,1,tidak mengantuk
2,1,2,mengantuk
4,2,3,mengantuk
2,0,0,tidak mengantuk
2,0,0,tidak mengantuk
2,1,0,tidak mengantuk
1,0,1,tidak mengantuk
2,1,2,mengantuk
4,2,3,mengantuk
2,0,0,tidak mengantuk
1,1,2,mengantuk
2,0,0,tidak mengantuk
2,0,1,tidak mengantuk
2,0,1,mengantuk
